2025-11-01	07:00:00	WAIT	P101	R032
2025-11-01	07:00:01	HOLD	P101	R032
2025-11-01	07:00:02	WAIT	P103	R032
2025-11-01	07:00:03	HOLD	P103	R032
2025-11-01	07:00:04	WAIT	P106	R032
2025-11-01	07:00:05	HOLD	P106	R032
2025-11-01	07:00:06	WAIT	P107	R032
2025-11-01	07:00:07	HOLD	P107	R032
2025-11-01	07:00:08	WAIT	P108	R032
2025-11-01	07:00:09	HOLD	P108	R032
2025-11-01	07:00:10	WAIT	P109	R032
2025-11-01	07:00:11	HOLD	P109	R032
2025-11-01	07:00:12	WAIT	P110	R032
2025-11-01	07:00:13	HOLD	P110	R032
2025-11-01	07:00:14	WAIT	P111	R032
2025-11-01	07:00:15	HOLD	P111	R032
2025-11-01	07:00:16	WAIT	P114	R032
2025-11-01	07:00:17	HOLD	P114	R032
2025-11-01	07:00:18	WAIT	P115	R032
2025-11-01	07:00:19	HOLD	P115	R032
2025-11-01	07:00:20	WAIT	P116	R032
2025-11-01	07:00:21	HOLD	P116	R032
2025-11-01	07:00:22	WAIT	P118	R032
2025-11-01	07:00:23	HOLD	P118	R032
2025-11-01	07:00:24	WAIT	P119	R032
2025-11-01	07:00:25	HOLD	P119	R032
2025-11-01	07:00:26	WAIT	P120	R032
2025-11-01	07:00:27	HOLD	P120	R032
2025-11-01	07:00:28	WAIT	P121	R032
2025-11-01	07:00:29	HOLD	P121	R032
2025-11-01	07:00:30	WAIT	P122	R032
2025-11-01	07:00:31	HOLD	P122	R032
2025-11-01	07:00:32	WAIT	P123	R032
2025-11-01	07:00:33	HOLD	P123	R032
2025-11-01	07:00:34	WAIT	P124	R032
2025-11-01	07:00:35	HOLD	P124	R032
2025-11-01	07:00:36	WAIT	P126	R032
2025-11-01	07:00:37	HOLD	P126	R032
2025-11-01	07:00:38	WAIT	P127	R032
2025-11-01	07:00:39	HOLD	P127	R032
2025-11-01	07:00:40	WAIT	P128	R032
2025-11-01	07:00:41	HOLD	P128	R032
2025-11-01	07:00:42	WAIT	P129	R032
2025-11-01	07:00:43	HOLD	P129	R032
2025-11-01	07:00:44	WAIT	P130	R032
2025-11-01	07:00:45	HOLD	P130	R032
2025-11-01	07:00:46	WAIT	P131	R032
2025-11-01	07:00:47	HOLD	P131	R032
2025-11-01	07:00:48	WAIT	P133	R032
2025-11-01	07:00:49	HOLD	P133	R032
2025-11-01	07:00:50	WAIT	P134	R032
2025-11-01	07:00:51	HOLD	P134	R032
2025-11-01	07:00:52	WAIT	P135	R032
2025-11-01	07:00:53	HOLD	P135	R032
2025-11-01	07:00:54	WAIT	P136	R032
2025-11-01	07:00:55	HOLD	P136	R032
2025-11-01	07:00:56	WAIT	P137	R032
2025-11-01	07:00:57	HOLD	P137	R032
2025-11-01	07:00:58	WAIT	P138	R032
2025-11-01	07:00:59	HOLD	P138	R032
2025-11-01	07:01:00	WAIT	P139	R032
2025-11-01	07:01:01	HOLD	P139	R032
2025-11-01	07:01:02	WAIT	P140	R032
2025-11-01	07:01:03	HOLD	P140	R032
2025-11-01	07:01:04	WAIT	P141	R032
2025-11-01	07:01:05	HOLD	P141	R032
2025-11-01	07:01:06	WAIT	P144	R032
2025-11-01	07:01:07	HOLD	P144	R032
2025-11-01	07:01:08	WAIT	P147	R032
2025-11-01	07:01:09	HOLD	P147	R032
2025-11-01	07:01:10	WAIT	P148	R032
2025-11-01	07:01:11	HOLD	P148	R032
2025-11-01	07:01:22	WAIT	P149	R024
2025-11-01	07:01:23	HOLD	P149	R024
